Complex,Source_doi,Charge,Shift,Dipole,q,Brutto,Charge_class,Geometry,Ligand,Smiles,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
53,https://doi.org/10.1002/ejic.201600573,-2000,-1891,914.4,268,[PtBr6] 2-,anion,oct,hal,[Pt-2]([Br])([Br])([Br])([Br])([Br])[Br],1068.191708,1068.191687,1068.191674,1068.191661,1068.191648,1068.191621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,https://doi.org/10.1002/ejic.201600573,-2000,-2545,1148.5,200,[PtBr5I]2-,anion,oct,hal,[Pt-2]([Br])([Br])([Br])([Br])([Br])[I],1521.331187,1064.142169,1064.141915,1064.140901,1064.140647,1070.621887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,https://doi.org/10.1002/ejic.201600573,-2000,-2849,1414.1,186,fac-[PtCl3I3] 2-,anion,oct,hal,[Pt-2]([I])([Cl])([Cl])([Cl])([I])[I],1531.781288,1531.778989,1531.69259,553.7650256,553.7642824,553.7619046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,https://doi.org/10.1002/ejic.201600573,-2000,-2849,970.6,193,mer-[PtCl3I3] 2-,anion,oct,hal,[Pt-2]([I])([Cl])([Cl])([I])([I])[Cl],1535.954184,1530.986817,1530.986427,548.0481752,548.0481808,554.6050714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,https://doi.org/10.1002/ejic.201600573,-2000,-3132,1041.8,129,trans-[PtBr4I2] 2-,anion,oct,hal,[Pt-2]([I])([Br])([Br])([I])([Br])[Br],1522.688555,1522.680736,1059.791266,1059.791081,1059.790037,1059.789852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,https://doi.org/10.1002/ejic.201600573,-2000,-3252,1078.2,131,cis-[PtBr4I2] 2-,anion,oct,hal,[Pt-2]([Br])([Br])([Br])([Br])([I])[I],1516.175899,1516.074424,1059.756042,1059.7533,1066.384107,1066.385973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,https://doi.org/10.1002/ejic.201600573,-2000,-3898,942.9,60,mer-[PtBr3I3] 2-,anion,oct,hal,[Pt-2]([I])([Br])([Br])([I])([I])[Br],1510.724394,1517.324294,1517.296345,1055.063313,1055.062556,1061.770726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,https://doi.org/10.1002/ejic.201600573,-2000,-3932,1518.4,77,cis-[PtCl2I4] 2-,anion,oct,hal,[Pt-2]([I])([Cl])([Cl])([I])([I])[I],1523.050887,1522.954217,1520.608134,1520.582426,549.2619613,549.2630417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,https://doi.org/10.1002/ejic.201600573,-2000,-3932,985.2,82,trans-[PtCl2I4] 2-,anion,oct,hal,[Pt-2]([Cl])([I])([I])([Cl])([I])[I],1525.117214,1525.072365,1524.844589,1524.842498,542.7843816,542.7843811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,https://doi.org/10.1002/ejic.201600573,-2000,-4014,1096.9,62,fac-[PtBr3I3] 2-,anion,oct,hal,[Pt-2]([I])([I])([Br])([Br])([Br])[I],1510.74539,1510.737598,1510.736017,1061.719959,1061.71961,1061.71953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
